Monat,PyTorch,TensorFlow,Keras
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,0,0
2004-06,0,0,0
2004-07,0,0,0
2004-08,0,0,2
2004-09,0,0,1
2004-10,0,0,0
2004-11,0,0,0
2004-12,0,0,0
2005-01,0,0,0
2005-02,0,0,1
2005-03,0,0,0
2005-04,0,0,1
2005-05,0,0,1
2005-06,0,0,0
2005-07,0,0,1
2005-08,0,0,0
2005-09,0,0,0
2005-10,0,0,1
2005-11,0,0,1
2005-12,0,0,1
2006-01,0,0,0
2006-02,0,0,0
2006-03,0,0,0
2006-04,0,0,1
2006-05,0,0,1
2006-06,0,0,0
2006-07,0,0,1
2006-08,0,0,0
2006-09,0,0,1
2006-10,0,0,<1
2006-11,0,0,1
2006-12,0,0,1
2007-01,0,0,1
2007-02,0,0,1
2007-03,0,0,1
2007-04,0,0,1
2007-05,0,0,1
2007-06,0,0,1
2007-07,0,0,1
2007-08,0,0,1
2007-09,0,0,1
2007-10,0,0,1
2007-11,0,0,1
2007-12,0,0,1
2008-01,0,0,1
2008-02,0,0,2
2008-03,0,0,1
2008-04,0,0,1
2008-05,0,0,1
2008-06,0,0,1
2008-07,0,0,1
2008-08,0,0,1
2008-09,0,0,1
2008-10,0,0,1
2008-11,0,0,1
2008-12,0,0,1
2009-01,0,0,1
2009-02,0,0,1
2009-03,0,0,1
2009-04,0,0,1
2009-05,0,0,1
2009-06,0,0,1
2009-07,0,0,1
2009-08,0,0,1
2009-09,0,0,1
2009-10,0,0,2
2009-11,0,0,1
2009-12,0,0,1
2010-01,0,0,2
2010-02,0,0,1
2010-03,0,0,2
2010-04,0,0,2
2010-05,0,0,2
2010-06,0,0,1
2010-07,0,0,2
2010-08,0,0,2
2010-09,0,0,2
2010-10,0,0,3
2010-11,0,0,3
2010-12,0,0,2
2011-01,0,0,3
2011-02,0,0,3
2011-03,0,0,3
2011-04,0,0,3
2011-05,0,0,2
2011-06,0,0,2
2011-07,0,0,3
2011-08,0,0,3
2011-09,0,0,3
2011-10,0,0,3
2011-11,0,0,3
2011-12,0,0,3
2012-01,0,0,3
2012-02,0,0,3
2012-03,0,0,3
2012-04,0,0,3
2012-05,0,0,3
2012-06,0,0,3
2012-07,0,0,3
2012-08,0,0,3
2012-09,0,0,4
2012-10,0,0,4
2012-11,0,0,4
2012-12,0,0,4
2013-01,0,0,4
2013-02,0,0,4
2013-03,0,0,5
2013-04,0,0,5
2013-05,0,0,5
2013-06,0,0,5
2013-07,0,0,5
2013-08,0,0,5
2013-09,0,0,6
2013-10,0,0,6
2013-11,0,0,6
2013-12,0,0,7
2014-01,0,<1,6
2014-02,0,0,7
2014-03,0,0,7
2014-04,0,0,7
2014-05,0,0,7
2014-06,0,0,7
2014-07,0,0,7
2014-08,0,0,8
2014-09,0,0,9
2014-10,0,0,9
2014-11,0,0,9
2014-12,0,0,9
2015-01,0,0,9
2015-02,0,0,9
2015-03,0,0,9
2015-04,0,0,10
2015-05,0,0,10
2015-06,0,0,9
2015-07,0,0,8
2015-08,0,0,9
2015-09,0,0,10
2015-10,0,<1,10
2015-11,0,17,9
2015-12,0,7,10
2016-01,0,7,11
2016-02,0,8,11
2016-03,0,9,12
2016-04,0,10,13
2016-05,0,13,13
2016-06,0,15,12
2016-07,0,14,14
2016-08,0,14,15
2016-09,0,18,16
2016-10,0,21,17
2016-11,0,27,10
2016-12,0,29,10
2017-01,0,31,11
2017-02,0,46,14
2017-03,0,51,19
2017-04,0,54,19
2017-05,0,57,19
2017-06,0,58,22
2017-07,0,56,22
2017-08,0,53,20
2017-09,0,57,21
2017-10,0,61,22
2017-11,2,66,26
2017-12,9,65,25
2018-01,11,61,24
2018-02,12,63,29
2018-03,14,71,31
2018-04,16,76,32
2018-05,19,72,31
2018-06,18,68,33
2018-07,18,69,32
2018-08,20,67,31
2018-09,19,61,28
2018-10,26,66,33
2018-11,27,67,37
2018-12,26,57,31
2019-01,24,62,30
2019-02,27,65,33
2019-03,30,71,38
2019-04,31,70,40
2019-05,30,64,39
2019-06,31,61,39
2019-07,33,65,41
2019-08,32,60,35
2019-09,31,57,34
2019-10,35,64,37
2019-11,37,61,37
2019-12,33,54,32
2020-01,29,55,30
2020-02,38,59,35
2020-03,36,54,32
2020-04,40,57,37
2020-05,41,57,38
2020-06,40,58,36
2020-07,44,59,34
2020-08,38,50,29
2020-09,40,52,29
2020-10,32,41,23
2020-11,34,41,23
2020-12,31,40,23
2021-01,30,37,20
2021-02,30,36,20
2021-03,36,40,23
2021-04,38,39,23
2021-05,36,39,24
2021-06,35,37,22
2021-07,35,36,20
2021-08,32,32,18
2021-09,34,36,19
2021-10,39,34,19
2021-11,43,41,23
2021-12,40,36,21
2022-01,45,46,26
2022-02,57,55,29
2022-03,66,66,35
2022-04,66,66,37
2022-05,61,64,33
2022-06,58,61,29
2022-07,58,54,26
2022-08,55,48,23
2022-09,57,52,24
2022-10,55,50,25
2022-11,63,54,28
2022-12,57,50,25
2023-01,55,48,22
2023-02,66,59,25
2023-03,72,58,25
2023-04,69,56,24
2023-05,63,51,23
2023-06,65,51,21
2023-07,81,46,20
2023-08,90,44,18
2023-09,86,44,17
2023-10,94,45,18
2023-11,97,49,20
2023-12,81,41,18
2024-01,81,42,17
2024-02,90,48,19
2024-03,100,52,21
2024-04,99,54,22
2024-05,93,46,21
2024-06,80,41,18
